DT,Open,High,Low,Close,Volume
2020-01-01 00:00:00,1.12172,1.12174,1.12079,1.1211,12821
2020-01-01 02:00:00,1.12123,1.12123,1.12117,1.12117,2
2020-01-01 20:00:00,1.12154,1.12154,1.12154,1.12154,1
2020-01-01 21:00:00,1.1208,1.12214,1.1208,1.12124,63
2020-01-01 22:00:00,1.1213,1.12159,1.1212,1.12127,70
2020-01-01 23:00:00,1.1213,1.1218,1.121,1.12134,56
2020-01-02 00:00:00,1.12123,1.12135,1.1208,1.1212,64
2020-01-02 01:00:00,1.12117,1.1217,1.12081,1.12145,8288
2020-01-02 02:00:00,1.12145,1.12221,1.1212,1.12188,18967
2020-01-02 03:00:00,1.12188,1.12191,1.1213,1.12181,16833
2020-01-02 04:00:00,1.12183,1.12244,1.1215,1.12208,27891
2020-01-02 05:00:00,1.12208,1.12245,1.1217,1.12223,20369
2020-01-02 06:00:00,1.12221,1.12232,1.1211,1.1213,23751
2020-01-02 07:00:00,1.12131,1.12143,1.1199,1.12009,28572
2020-01-02 08:00:00,1.1201,1.12044,1.1199,1.12043,26986
2020-01-02 09:00:00,1.12043,1.12078,1.1202,1.12078,27902
2020-01-02 10:00:00,1.12078,1.12103,1.1203,1.12093,75213
2020-01-02 11:00:00,1.12099,1.12138,1.1204,1.1212,82955
2020-01-02 12:00:00,1.1211,1.12142,1.1199,1.12031,67104
2020-01-02 13:00:00,1.12028,1.12039,1.1191,1.11982,66005
2020-01-02 14:00:00,1.11973,1.12022,1.1182,1.11847,77919
2020-01-02 15:00:00,1.11846,1.11946,1.1181,1.1193,70434
2020-01-02 16:00:00,1.11929,1.11972,1.11886,1.11961,81361
2020-01-02 17:00:00,1.11963,1.11965,1.1168,1.1174,119950
2020-01-02 18:00:00,1.1174,1.12024,1.1169,1.12004,138178
2020-01-02 19:00:00,1.12006,1.12032,1.1164,1.11662,119017
2020-01-02 20:00:00,1.11662,1.1172,1.1162,1.11698,68045
2020-01-02 21:00:00,1.11697,1.11723,1.1162,1.11702,60484
2020-01-02 22:00:00,1.11702,1.11704,1.1163,1.11661,52908
2020-01-02 23:00:00,1.11661,1.11717,1.1164,1.1169,47816
2020-01-03 00:00:00,1.11692,1.11704,1.1168,1.11692,1072
